epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10036,1.18411,0.64671,1.06259,0.90333,0.86635,0.92294,0.63817,1.05521,0.56062,1.0437,0.0079705,0.0079705,0.0079705
43,10279.8,1.19692,0.64733,1.06418,0.90818,0.87508,0.92615,0.64326,1.05125,0.55007,1.04509,0.007921,0.007921,0.007921
44,10529,1.18767,0.63956,1.05827,0.915,0.87243,0.92803,0.6461,1.04841,0.54473,1.04114,0.0078715,0.0078715,0.0078715
45,10757.9,1.18654,0.63785,1.05672,0.91861,0.87799,0.93181,0.65067,1.03769,0.53898,1.03528,0.007822,0.007822,0.007822
46,10996,1.17472,0.63216,1.05308,0.91564,0.87982,0.93213,0.6537,1.03414,0.53527,1.03553,0.0077725,0.0077725,0.0077725
47,11231.2,1.1737,0.62833,1.0526,0.91917,0.87842,0.93312,0.65358,1.02926,0.53251,1.03125,0.007723,0.007723,0.007723
48,11482.8,1.18104,0.6342,1.05327,0.9143,0.88121,0.93504,0.65542,1.02664,0.5318,1.02779,0.0076735,0.0076735,0.0076735
49,11727,1.19085,0.63536,1.05585,0.9177,0.884,0.93552,0.66068,1.0168,0.52337,1.02325,0.007624,0.007624,0.007624
50,11953.7,1.16388,0.62174,1.04875,0.91858,0.88768,0.93793,0.66373,1.0132,0.51871,1.02288,0.0075745,0.0075745,0.0075745
51,12186.7,1.17604,0.63006,1.05366,0.91813,0.88689,0.93942,0.66511,1.01393,0.51545,1.02234,0.007525,0.007525,0.007525
52,12432.9,1.16045,0.61617,1.04819,0.92123,0.88592,0.94,0.66537,1.00716,0.51239,1.01882,0.0074755,0.0074755,0.0074755
53,12679.4,1.1614,0.61771,1.04391,0.9204,0.89397,0.94299,0.67282,0.99617,0.50489,1.01357,0.007426,0.007426,0.007426
54,12912.5,1.16066,0.61417,1.04698,0.92568,0.89127,0.94215,0.67205,1.00057,0.5053,1.01666,0.0073765,0.0073765,0.0073765
55,13145.3,1.1605,0.61335,1.04411,0.92691,0.8899,0.94476,0.67403,0.99192,0.50075,1.01188,0.007327,0.007327,0.007327
56,13388.2,1.1621,0.6142,1.04579,0.92551,0.88824,0.94306,0.6747,0.98904,0.50164,1.01055,0.0072775,0.0072775,0.0072775
57,13629.1,1.15633,0.60778,1.03865,0.92273,0.89916,0.94721,0.67897,0.98294,0.49483,1.00636,0.007228,0.007228,0.007228
58,13863.4,1.15291,0.60812,1.04412,0.92641,0.89874,0.94828,0.67945,0.98131,0.48862,1.00423,0.0071785,0.0071785,0.0071785
59,14092.3,1.14355,0.60127,1.03745,0.92884,0.89808,0.94815,0.68076,0.97739,0.48703,1.0029,0.007129,0.007129,0.007129
60,14327.1,1.15616,0.60297,1.04112,0.93288,0.89796,0.94881,0.6829,0.97723,0.48596,1.0022,0.0070795,0.0070795,0.0070795
61,14577.3,1.13975,0.59672,1.03764,0.92838,0.90121,0.95101,0.68591,0.97057,0.48063,1.00078,0.00703,0.00703,0.00703
62,14812.3,1.13699,0.59643,1.03325,0.92946,0.90276,0.95011,0.68656,0.96849,0.47952,0.99721,0.0069805,0.0069805,0.0069805
63,15041.2,1.13978,0.59543,1.03468,0.93481,0.8976,0.95205,0.68609,0.96778,0.47631,0.99573,0.006931,0.006931,0.006931
64,15272.5,1.13703,0.59277,1.03523,0.93343,0.90583,0.95305,0.69132,0.95959,0.47274,0.99378,0.0068815,0.0068815,0.0068815
65,15521.9,1.14824,0.60109,1.03814,0.93239,0.90847,0.95408,0.69365,0.95533,0.47023,0.99069,0.006832,0.006832,0.006832
66,15768.4,1.13087,0.59113,1.03381,0.93303,0.90591,0.95375,0.69359,0.95341,0.46734,0.98917,0.0067825,0.0067825,0.0067825
67,15997.7,1.12886,0.58311,1.02625,0.93514,0.90935,0.95589,0.69709,0.94737,0.46195,0.98522,0.006733,0.006733,0.006733
68,16230.6,1.12438,0.5857,1.02795,0.93807,0.91067,0.95813,0.70066,0.94411,0.45847,0.98414,0.0066835,0.0066835,0.0066835
69,16462.2,1.12447,0.58153,1.03002,0.93632,0.91073,0.9577,0.70098,0.94337,0.4575,0.98285,0.006634,0.006634,0.006634
70,16714.9,1.12084,0.58081,1.02798,0.93779,0.91433,0.95852,0.70183,0.94002,0.45395,0.98035,0.0065845,0.0065845,0.0065845
71,16951.8,1.11724,0.57622,1.02512,0.93594,0.91432,0.95792,0.70239,0.93786,0.45286,0.97976,0.006535,0.006535,0.006535
72,17180.9,1.12509,0.58124,1.03055,0.93322,0.91532,0.95894,0.70511,0.93352,0.45141,0.97855,0.0064855,0.0064855,0.0064855
73,17409.4,1.11933,0.57687,1.02502,0.93577,0.91367,0.9591,0.70671,0.93229,0.44809,0.97718,0.006436,0.006436,0.006436
74,17664.1,1.11445,0.57408,1.02313,0.93783,0.91734,0.96142,0.70896,0.92953,0.44507,0.97627,0.0063865,0.0063865,0.0063865
75,17909.2,1.11234,0.56903,1.021,0.93924,0.91995,0.96265,0.71112,0.92657,0.44193,0.97456,0.006337,0.006337,0.006337
76,18156.1,1.1057,0.56966,1.02195,0.94059,0.92094,0.9632,0.71325,0.92366,0.43957,0.97313,0.0062875,0.0062875,0.0062875
77,18394,1.11035,0.57165,1.02438,0.93941,0.92172,0.96332,0.71235,0.9213,0.4383,0.97255,0.006238,0.006238,0.006238
78,18640.4,1.10717,0.56613,1.02049,0.94207,0.92252,0.96401,0.71459,0.91628,0.4364,0.97043,0.0061885,0.0061885,0.0061885
79,18886.1,1.10349,0.56526,1.01944,0.94375,0.92117,0.96385,0.71696,0.9122,0.43338,0.96841,0.006139,0.006139,0.006139
80,19118.2,1.09925,0.56368,1.01751,0.94378,0.92064,0.96463,0.71863,0.90936,0.43158,0.96627,0.0060895,0.0060895,0.0060895
81,19349.5,1.09425,0.56005,1.01673,0.94446,0.92156,0.96499,0.72039,0.90651,0.43059,0.96491,0.00604,0.00604,0.00604
82,19584.3,1.10601,0.56247,1.01733,0.94372,0.92217,0.96528,0.71994,0.90458,0.42935,0.96448,0.0059905,0.0059905,0.0059905
83,19836.7,1.09377,0.55443,1.01217,0.94428,0.92412,0.96628,0.72139,0.90316,0.4281,0.96346,0.005941,0.005941,0.005941
84,20076.1,1.09196,0.5611,1.01394,0.94809,0.92377,0.96684,0.72289,0.9011,0.42608,0.96217,0.0058915,0.0058915,0.0058915
85,20303.5,1.09525,0.56022,1.01565,0.94708,0.92565,0.96724,0.72336,0.89991,0.42448,0.9613,0.005842,0.005842,0.005842
86,20534.7,1.09088,0.55418,1.01214,0.94707,0.9272,0.96767,0.72486,0.89686,0.42299,0.96009,0.0057925,0.0057925,0.0057925
87,20777.3,1.08933,0.5508,1.01124,0.94752,0.92704,0.96827,0.72558,0.89401,0.42137,0.9587,0.005743,0.005743,0.005743
88,21023.7,1.08255,0.54732,1.00938,0.94803,0.9283,0.96855,0.72673,0.89155,0.41929,0.95751,0.0056935,0.0056935,0.0056935
89,21267.1,1.07939,0.54926,1.00998,0.95053,0.92613,0.96915,0.72712,0.88898,0.41764,0.95652,0.005644,0.005644,0.005644
90,21494.4,1.08666,0.54887,1.00889,0.95053,0.92704,0.96945,0.72849,0.8862,0.41594,0.95504,0.0055945,0.0055945,0.0055945
91,21724.1,1.07992,0.54343,1.00356,0.95005,0.9293,0.96989,0.72998,0.88331,0.41396,0.95372,0.005545,0.005545,0.005545
92,21969,1.08002,0.54152,1.00649,0.95024,0.93041,0.96996,0.73083,0.88149,0.41238,0.9525,0.0054955,0.0054955,0.0054955
93,22210.3,1.06457,0.54064,1.00372,0.95037,0.93139,0.97038,0.7324,0.87898,0.41026,0.95153,0.005446,0.005446,0.005446
94,22443.2,1.06595,0.53729,1.00647,0.9496,0.9316,0.97069,0.73315,0.87653,0.40872,0.95027,0.0053965,0.0053965,0.0053965
95,22676.5,1.07219,0.53678,1.00604,0.94978,0.93117,0.97101,0.73405,0.87504,0.40744,0.9496,0.005347,0.005347,0.005347
96,22911.6,1.06703,0.53799,1.00309,0.95112,0.93057,0.97138,0.73476,0.87313,0.40612,0.94877,0.0052975,0.0052975,0.0052975
97,23162.9,1.06563,0.53439,1.00283,0.9505,0.93215,0.97126,0.73594,0.87105,0.40478,0.94758,0.005248,0.005248,0.005248
98,23408,1.06908,0.53794,1.00372,0.94899,0.93311,0.97176,0.73665,0.86888,0.40374,0.94651,0.0051985,0.0051985,0.0051985
99,23647.6,1.06051,0.5328,1.00201,0.95252,0.93005,0.97184,0.73761,0.86731,0.40271,0.94563,0.005149,0.005149,0.005149
