epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,42945,0.8999,0.42801,0.94141,0.96603,0.95053,0.9815,0.77748,0.77643,0.35351,0.90304,0.00109,0.00109,0.00109
182,43188.8,0.89239,0.42635,0.94054,0.96561,0.95078,0.98152,0.77778,0.77547,0.35311,0.90268,0.0010405,0.0010405,0.0010405
183,43421.6,0.89629,0.42597,0.9403,0.96514,0.95124,0.98159,0.77846,0.77449,0.35268,0.90232,0.000991,0.000991,0.000991
184,43677.2,0.89412,0.42661,0.94106,0.96556,0.95138,0.98163,0.77856,0.77353,0.35232,0.90196,0.0009415,0.0009415,0.0009415
185,43928.5,0.90296,0.42631,0.94013,0.96576,0.95139,0.98174,0.77916,0.77264,0.35185,0.90161,0.000892,0.000892,0.000892
186,44160.6,0.88693,0.42203,0.93884,0.96629,0.95136,0.98186,0.77942,0.77191,0.3514,0.9013,0.0008425,0.0008425,0.0008425
187,44429.1,0.89263,0.42393,0.93555,0.96646,0.95122,0.98195,0.78011,0.77099,0.35102,0.90088,0.000793,0.000793,0.000793
188,44682.9,0.88958,0.42265,0.9355,0.966,0.9516,0.982,0.78026,0.77008,0.35061,0.90053,0.0007435,0.0007435,0.0007435
189,44934.9,0.88051,0.41899,0.93798,0.96635,0.95176,0.98222,0.78065,0.76924,0.35029,0.90017,0.000694,0.000694,0.000694
190,45182.3,0.87823,0.41804,0.9328,0.9663,0.95206,0.98227,0.78107,0.7684,0.34985,0.89981,0.0006445,0.0006445,0.0006445
191,45498.9,0.86985,0.38782,0.92789,0.96645,0.95214,0.98238,0.78152,0.76759,0.34948,0.89942,0.000595,0.000595,0.000595
192,45728.4,0.85386,0.37966,0.92031,0.9667,0.95251,0.98239,0.7819,0.76673,0.34918,0.89904,0.0005455,0.0005455,0.0005455
193,45967.9,0.85012,0.37636,0.92183,0.96709,0.95262,0.98246,0.78229,0.76576,0.34882,0.89868,0.000496,0.000496,0.000496
194,46207.8,0.84846,0.37778,0.91916,0.96705,0.9531,0.98255,0.78269,0.76482,0.34842,0.89829,0.0004465,0.0004465,0.0004465
195,46514.6,0.84271,0.37468,0.91899,0.9674,0.95334,0.98262,0.78316,0.764,0.3481,0.89792,0.000397,0.000397,0.000397
196,46772.8,0.84208,0.37369,0.91892,0.9676,0.95325,0.98267,0.78337,0.76302,0.3477,0.89751,0.0003475,0.0003475,0.0003475
197,47148.1,0.83723,0.37258,0.91676,0.96734,0.95306,0.98272,0.78376,0.76208,0.34728,0.89714,0.000298,0.000298,0.000298
198,47406.4,0.83901,0.37142,0.91702,0.96725,0.95291,0.98269,0.78408,0.76134,0.34695,0.89677,0.0002485,0.0002485,0.0002485
199,47776.7,0.83748,0.37089,0.91473,0.96758,0.95327,0.98281,0.7845,0.76047,0.3465,0.8964,0.000199,0.000199,0.000199
200,48034.6,0.83159,0.36746,0.91297,0.96786,0.95341,0.98292,0.78475,0.75965,0.34613,0.89605,0.0001495,0.0001495,0.0001495
